0.0001	0.0001	5.19975	0.00179686	0.312243	0.58034	0.6	0.6	5.19994	0
0.862916	0.534212	4.16013	2.57544	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
0.862916	0.534212	4.16013	2.57544	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.15196	0.531433	3.94548	2.22178	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.15196	0.531433	3.94548	2.22178	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.61502	0.660625	4.57251	2.15539	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1.61502	0.660625	4.57251	2.15539	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.06039	0.772882	4.69471	1.84708	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.06039	0.772882	4.69471	1.84708	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.6474	0.855334	4.98977	1.44839	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
2.6474	0.855334	4.98977	1.44839	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.26078	0.845932	5.16605	0.891989	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.26078	0.845932	5.16605	0.891989	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
3.88385	0.835329	5.41148	0.610847	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
3.88385	0.835329	5.41148	0.610847	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.44926	0.838757	5.23862	0.402505	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.44926	0.838757	5.23862	0.402505	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.99629	0.815087	4.99325	0.189176	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
4.99629	0.815087	4.99325	0.189176	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.48446	0.805811	5.30368	0.167154	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.48446	0.805811	5.30368	0.167154	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
5.98662	0.732886	5.02995	-0.0777965	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
5.98662	0.732886	5.02995	-0.0777965	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
