0.312243	0.58034	5.2	0.05	0.312243	0.58034	0.6	0.6	5.19994	0
0.312243	0.58034	5.2	0.05	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1.06755	0.513404	5.44182	-0.030827	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.06755	0.513404	5.44182	-0.030827	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1.63196	0.57151	5.50477	0.186224	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1.63196	0.57151	5.50477	0.186224	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
2.18578	0.622607	5.51784	0.328106	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.18578	0.622607	5.51784	0.328106	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
2.69349	0.661457	5.35012	0.353609	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
2.69349	0.661457	5.35012	0.353609	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
3.11381	0.662862	4.94014	0.217544	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.11381	0.662862	4.94014	0.217544	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
3.75583	0.47647	5.44709	-0.594723	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
3.75583	0.47647	5.44709	-0.594723	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
4.305	0.506021	5.46209	-0.24941	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.305	0.506021	5.46209	-0.24941	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
4.60159	0.70998	4.62508	0.64006	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
4.60159	0.70998	4.62508	0.64006	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
5.28966	0.70528	5.38311	0.372432	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.28966	0.70528	5.38311	0.372432	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
5.92393	0.724005	5.70645	0.300215	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
